available;categoryId;currencyId;delivery;description;id;model;modified_time;name;oldprice;param;pickup;picture;price;sales_notes;store;topseller;type;typePrefix;url;vendor;vendorCode
false;Smart Home & Garden;USD;true;Ultenic AC1 Cordless Wet Dry Vacuum Cleaner EU Plug;518027;;1727859893;Ultenic AC1 Cordless Wet Dry Vacuum Cleaner, 15KPa Suction, 2L Water Tank, Dual Edge Cleaning, 45min Runtime, Smart LED Display, APP Support, Voice Assistant - EU Plug;399.99;Size:76.0*32.8*30.2;true;https://img.gkbcdn.com/s3/p/2022-10-25/Ultenic-AC1-Cordless-Wet-Dry-Vacuum-Cleaner-EU-Plug-518027-0.jpg;195.175;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FUltenic-AC1-Cordless-Wet-Dry-Vacuum-Cleaner-EU-Plug-518027.html;Ultenic;
false;Smart Home & Garden;USD;true;Ultenic TS1 Robot Vacuum Cleaner;522841;;1727859893;Ultenic TS1 Robot Vacuum Cleaner with Self Emptying Station, Dual-Spin Mopping, 3000Pa Suction, 3L Dust Bag, Carpet Boost, App/Voice Control;399.99;Size:42.0*40.0*34.5;true;https://img.gkbcdn.com/s3/p/2023-11-17/Ultenic-TS1-Robot-Vacuum-Cleaner-522841-1.jpg;259.163;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FUltenic-TS1-Robot-Vacuum-Cleaner-522841.html;Ultenic;
false;Smart Home & Garden;USD;true;Ultenic D6S Gyro Robot Vacuum Cleaner EU Plug;518118;;1727859893;Ultenic D6S Robot Vacuum Cleaner Gyroscopic Navigation, 3-in-1 Sweep Vacuum Mop, 3000 Suction, 4 Cleaning Modes, 2600mAh Battery, 120min Runtime;239.99;Color:Black|Size:54.5*49.5*40.5;true;https://img.gkbcdn.com/s3/p/2022-12-01/ultenic-d6s-gyro-robot-vacuum-cleaner-eu-plug-0fe97d-1669894986584.jpg;119.269;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FUltenic-D6S-Gyro-Robot-Vacuum-Cleaner-EU-Plug-518118.html;Ultenic;
false;Smart Home & Garden;USD;true;Ultenic MC1 Robot Vacuum Cleaner;522850;;1727859893;Ultenic MC1 Robot Vacuum Cleaner with Fully-Automatic Station, 5000Pa Suction, Dual-Rotating Mopping, Hot Air Drying, 3L Dustbag, 5200mAh Battery, Max 180 Mins Runtime, APP/Voice Control;799.99;Size:54.1*53.2*54.9;true;https://img.gkbcdn.com/s3/p/2023-11-20/Ultenic-MC1-Robot-Vacuum-Cleaner-522850-0.jpg;693.982;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FUltenic-MC1-Robot-Vacuum-Cleaner-522850.html;Ultenic;
false;Smart Home & Garden;USD;true;Ultenic U12 Vesla Cordless Vacuum Cleaner;522897;;1727859893;Ultenic U12 Vesla Cordless Vacuum Cleaner, 30KPa Suction, 450W Motor, 1L Dust Box, Up to 45 Mins Runtime, Removable Battery, LED Headlights;249.99;Size:47.5*36.0*61.0;true;https://img.gkbcdn.com/s3/p/2023-11-23/Ultenic-U12-Vesla-Cordless-Vacuum-Cleaner-522897-0.jpg;162.644;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FUltenic-U12-Vesla-Cordless-Vacuum-Cleaner-522897.html;Ultenic;
false;Smart Home & Garden;USD;true;Proscenic 850T Smart Robot Cleaner 3000Pa Suction Black;426882;;1727859893;Proscenic 850T Smart Robot Cleaner 3000Pa Suction Three Cleaning Modes 250ml Dust Collector 200ml Electric Water Tank Alexa Google Home App Control - Black;429.32;Size:57.0*36.8*10.8;true;https://img.gkbcdn.com/s3/p/2023-06-09/proscenic-850t-smart-robot-cleaner-3000pa-suction-black-b971c9-1686301760758.jpg;140.956;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FProscenic-850T-Smart-Robot-Cleaner-3000Pa-Suction-Black-426882.html;Proscenic;
false;Wearable Devices;USD;true;M1 Smart Ring Health Tracker - US Size 11;523097;;1727859893;M1 Smart Ring Health Tracker 24-hour Heart Rate Blood Oxygen Monitor Exercise Calorie Consumption Recording - US Size 11 Diameter 20.8mm Circumference 65.3mm;49.99;Color:Transparent|Size:9.1*9.1*4.1;true;https://img.gkbcdn.com/s3/p/2023-12-14/M1-Smart-Ring-Health-Tracker---US-Size-11-523097-0.jpg;32.52;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FM1-Smart-Ring-Health-Tracker-US-Size-11-523097.html;Other;
false;Smart Home & Garden;USD;true;Proscenic P11 Mopping Cordless Vacuum Cleaner;523162;;1727859893;Proscenic P11 Mopping Cordless Vacuum Cleaner, 35KPa Suction, 0.65L Dustbin, 5-Stage Filtration System, 2000mAh Detachable Battery, Up to 50 Mins Runtime, Touch Screen;180.99;Size:46.0*35.0*21.0;true;https://img.gkbcdn.com/s3/p/2023-12-21/Proscenic-P11-Mopping-Cordless-Vacuum-Cleaner-523162-0.jpg;158.317;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FProscenic-P11-Mopping-Cordless-Vacuum-Cleaner-523162.html;Proscenic;
false;Smart Home & Garden;USD;true;Ultenic T10 Elite Robot Vacuum Cleaner;523207;;1727859893;Ultenic T10 Elite Robot Vacuum Cleaner with Dust Collection Station, 2 in 1 Vacuuming Mopping, 2200Pa Suction, LiDAR Navigation, 3L Dust Bag, Carpet Boost, 3200mAh Battery, Up to 150 Mins Runtime, APP/Voice Control;399;Size:39.0*34.1*40.5;true;https://img.gkbcdn.com/s3/p/2023-12-28/UUltenic-T10-Elite-Robot-Vacuum-Cleaner-523207-0.jpg;303.611;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FUltenic-T10-Elite-Robot-Vacuum-Cleaner-523207.html;Ultenic;
false;Smart Home & Garden;USD;true;Chefree AFW01 6 in 1 Air Fryer Toaster;523229;;1727859893;Chefree AFW01 6 in 1 Air Fryer Toaster, 5L Capacity, 1500W Power, Rapid Air Circulation, Visible Window, LED Touchscreen, 100+ Recipes Online;109.99;Size:47.5*28.5*33.0;true;https://img.gkbcdn.com/s3/p/2024-01-04/chefree-afw01-6-in-1-air-fryer-toaster-cdf244-1704365340548.jpg;86.738;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FChefree-AFW01-6-in-1-Air-Fryer-Toaster-523229.html;Kornorge;
